,index,breed,animal_type,date,ave_hsIncome,breed_cumsum,cum_mean
0,0,American Pit Bull Terrier Mix,Dog,01,75204.0,1,75204.0
1,1,American Pit Bull Terrier Mix,Dog,02,36480.0,2,55842.0
2,mar,American Pit Bull Terrier Mix,Dog,03,0.0,0,0.0
0,2,Australian Cattle Dog/Labrador Retriever,Dog,02,42398.0,1,42398.0
1,jan,Australian Cattle Dog/Labrador Retriever,Dog,01,0.0,0,0.0
2,mar,Australian Cattle Dog/Labrador Retriever,Dog,03,0.0,0,0.0
0,3,Australian Kelpie Mix,Dog,02,42398.0,1,42398.0
1,jan,Australian Kelpie Mix,Dog,01,0.0,0,0.0
2,mar,Australian Kelpie Mix,Dog,03,0.0,0,0.0
0,4,Basenji Mix,Dog,01,47076.0,1,47076.0
1,feb,Basenji Mix,Dog,02,0.0,0,0.0
2,mar,Basenji Mix,Dog,03,0.0,0,0.0
0,5,Basset Hound/German Shepherd,Dog,02,57710.0,1,57710.0
1,jan,Basset Hound/German Shepherd,Dog,01,0.0,0,0.0
2,mar,Basset Hound/German Shepherd,Dog,03,0.0,0,0.0
0,6,Bat Mix,Other,01,25369.0,1,25369.0
1,8,Bat Mix,Other,02,23348.0,3,28453.0
2,mar,Bat Mix,Other,03,0.0,0,0.0
0,9,Beagle,Dog,01,57710.0,1,57710.0
1,feb,Beagle,Dog,02,0.0,0,0.0
2,mar,Beagle,Dog,03,0.0,0,0.0
0,12,Beagle Mix,Dog,01,87290.0,3,44662.0
1,13,Beagle Mix,Dog,02,57710.0,4,47924.0
2,15,Beagle Mix,Dog,03,23348.0,6,39732.0
0,16,Beagle/German Shepherd,Dog,01,43458.0,1,43458.0
1,feb,Beagle/German Shepherd,Dog,02,0.0,0,0.0
2,mar,Beagle/German Shepherd,Dog,03,0.0,0,0.0
0,17,Beagle/Pug,Dog,01,38206.0,1,38206.0
1,feb,Beagle/Pug,Dog,02,0.0,0,0.0
2,mar,Beagle/Pug,Dog,03,0.0,0,0.0
0,18,Black Mouth Cur Mix,Dog,01,45090.0,1,45090.0
1,feb,Black Mouth Cur Mix,Dog,02,0.0,0,0.0
2,mar,Black Mouth Cur Mix,Dog,03,0.0,0,0.0
0,19,Border Terrier Mix,Dog,02,23348.0,1,23348.0
1,jan,Border Terrier Mix,Dog,01,0.0,0,0.0
2,mar,Border Terrier Mix,Dog,03,0.0,0,0.0
0,20,Boxer Mix,Dog,01,62294.0,1,62294.0
1,feb,Boxer Mix,Dog,02,0.0,0,0.0
2,mar,Boxer Mix,Dog,03,0.0,0,0.0
0,22,Boxer/Labrador Retriever,Dog,01,38206.0,2,31788.0
1,feb,Boxer/Labrador Retriever,Dog,02,0.0,0,0.0
2,mar,Boxer/Labrador Retriever,Dog,03,0.0,0,0.0
0,23,Bullmastiff,Dog,03,75204.0,1,75204.0
1,jan,Bullmastiff,Dog,01,0.0,0,0.0
2,feb,Bullmastiff,Dog,02,0.0,0,0.0
0,24,Bullmastiff Mix,Dog,01,38206.0,1,38206.0
1,feb,Bullmastiff Mix,Dog,02,0.0,0,0.0
2,mar,Bullmastiff Mix,Dog,03,0.0,0,0.0
0,25,Cairn Terrier Mix,Dog,02,38206.0,1,38206.0
1,jan,Cairn Terrier Mix,Dog,01,0.0,0,0.0
2,mar,Cairn Terrier Mix,Dog,03,0.0,0,0.0
0,26,Cairn Terrier/Dachshund Wirehair,Dog,02,38256.0,1,38256.0
1,jan,Cairn Terrier/Dachshund Wirehair,Dog,01,0.0,0,0.0
2,mar,Cairn Terrier/Dachshund Wirehair,Dog,03,0.0,0,0.0
0,27,Catahoula Mix,Dog,01,38256.0,1,38256.0
1,feb,Catahoula Mix,Dog,02,0.0,0,0.0
2,mar,Catahoula Mix,Dog,03,0.0,0,0.0
0,28,Cavalier Span,Dog,01,23348.0,1,23348.0
1,feb,Cavalier Span,Dog,02,0.0,0,0.0
2,mar,Cavalier Span,Dog,03,0.0,0,0.0
0,29,Chesa Bay Retr/Pit Bull,Dog,02,23348.0,1,23348.0
1,jan,Chesa Bay Retr/Pit Bull,Dog,01,0.0,0,0.0
2,mar,Chesa Bay Retr/Pit Bull,Dog,03,0.0,0,0.0
0,30,Chihuahua Longhair Mix,Dog,01,23348.0,1,23348.0
1,31,Chihuahua Longhair Mix,Dog,02,23348.0,2,23348.0
2,mar,Chihuahua Longhair Mix,Dog,03,0.0,0,0.0
0,32,Chihuahua Shorthair,Dog,01,30207.0,1,30207.0
1,feb,Chihuahua Shorthair,Dog,02,0.0,0,0.0
2,mar,Chihuahua Shorthair,Dog,03,0.0,0,0.0
0,42,Chihuahua Shorthair Mix,Dog,01,36641.0,10,40294.0
1,46,Chihuahua Shorthair Mix,Dog,02,36978.0,14,36661.0
2,48,Chihuahua Shorthair Mix,Dog,03,60861.0,16,37342.0
0,50,Chihuahua Shorthair/Dachshund,Dog,02,36480.0,2,30924.0
1,jan,Chihuahua Shorthair/Dachshund,Dog,01,0.0,0,0.0
2,mar,Chihuahua Shorthair/Dachshund,Dog,03,0.0,0,0.0
0,51,Chinese Sharpei Mix,Dog,01,23348.0,1,23348.0
1,feb,Chinese Sharpei Mix,Dog,02,0.0,0,0.0
2,mar,Chinese Sharpei Mix,Dog,03,0.0,0,0.0
0,52,Cocker Spaniel,Dog,01,38206.0,1,38206.0
1,feb,Cocker Spaniel,Dog,02,0.0,0,0.0
2,mar,Cocker Spaniel,Dog,03,0.0,0,0.0
0,53,Coyote,Other,01,38256.0,1,38256.0
1,feb,Coyote,Other,02,0.0,0,0.0
2,mar,Coyote,Other,03,0.0,0,0.0
0,59,Dachshund Mix,Dog,01,38256.0,6,39387.0
1,63,Dachshund Mix,Dog,02,36480.0,10,38224.0
2,mar,Dachshund Mix,Dog,03,0.0,0,0.0
0,64,Dachshund Wirehair Mix,Dog,02,36978.0,1,36978.0
1,jan,Dachshund Wirehair Mix,Dog,01,0.0,0,0.0
2,mar,Dachshund Wirehair Mix,Dog,03,0.0,0,0.0
0,66,Domestic Longhair Mix,Cat,02,23348.0,2,33403.0
1,jan,Domestic Longhair Mix,Cat,01,0.0,0,0.0
2,mar,Domestic Longhair Mix,Cat,03,0.0,0,0.0
0,67,Domestic Medium Hair Mix,Cat,01,43458.0,1,43458.0
1,feb,Domestic Medium Hair Mix,Cat,02,0.0,0,0.0
2,mar,Domestic Medium Hair Mix,Cat,03,0.0,0,0.0
