,breed,animal_type,date,ave_hsIncome,breed_cumsum,cum_mean
0,American Pit Bull Terrier Mix,Dog,01,75204.0,1,75204.0
1,American Pit Bull Terrier Mix,Dog,02,36480.0,2,55842.0
2,American Pit Bull Terrier Mix,Dog,03,0.0,0,0.0
1,Australian Cattle Dog/Labrador Retriever,Dog,01,0.0,0,0.0
0,Australian Cattle Dog/Labrador Retriever,Dog,02,42398.0,1,42398.0
2,Australian Cattle Dog/Labrador Retriever,Dog,03,0.0,0,0.0
1,Australian Kelpie Mix,Dog,01,0.0,0,0.0
0,Australian Kelpie Mix,Dog,02,42398.0,1,42398.0
2,Australian Kelpie Mix,Dog,03,0.0,0,0.0
0,Basenji Mix,Dog,01,47076.0,1,47076.0
1,Basenji Mix,Dog,02,0.0,0,0.0
2,Basenji Mix,Dog,03,0.0,0,0.0
1,Basset Hound/German Shepherd,Dog,01,0.0,0,0.0
0,Basset Hound/German Shepherd,Dog,02,57710.0,1,57710.0
2,Basset Hound/German Shepherd,Dog,03,0.0,0,0.0
0,Bat Mix,Other,01,25369.0,1,25369.0
1,Bat Mix,Other,02,23348.0,3,28453.0
2,Bat Mix,Other,03,0.0,0,0.0
0,Beagle,Dog,01,57710.0,1,57710.0
1,Beagle,Dog,02,0.0,0,0.0
2,Beagle,Dog,03,0.0,0,0.0
0,Beagle Mix,Dog,01,87290.0,3,44662.0
1,Beagle Mix,Dog,02,57710.0,4,47924.0
2,Beagle Mix,Dog,03,23348.0,6,39732.0
0,Beagle/German Shepherd,Dog,01,43458.0,1,43458.0
1,Beagle/German Shepherd,Dog,02,0.0,0,0.0
2,Beagle/German Shepherd,Dog,03,0.0,0,0.0
0,Beagle/Pug,Dog,01,38206.0,1,38206.0
1,Beagle/Pug,Dog,02,0.0,0,0.0
2,Beagle/Pug,Dog,03,0.0,0,0.0
0,Black Mouth Cur Mix,Dog,01,45090.0,1,45090.0
1,Black Mouth Cur Mix,Dog,02,0.0,0,0.0
2,Black Mouth Cur Mix,Dog,03,0.0,0,0.0
1,Border Terrier Mix,Dog,01,0.0,0,0.0
0,Border Terrier Mix,Dog,02,23348.0,1,23348.0
2,Border Terrier Mix,Dog,03,0.0,0,0.0
0,Boxer Mix,Dog,01,62294.0,1,62294.0
1,Boxer Mix,Dog,02,0.0,0,0.0
