,breed,animal_type,Date,ave_hsIncome,breed_cumsum
0,American_Pit_Bull_Terrier_Mix,Dog,01-01,75204.0,1.0
67,American_Pit_Bull_Terrier_Mix,Dog,01-02,0.0,0.0
134,American_Pit_Bull_Terrier_Mix,Dog,01-03,0.0,0.0
201,American_Pit_Bull_Terrier_Mix,Dog,01-04,0.0,0.0
268,American_Pit_Bull_Terrier_Mix,Dog,01-05,0.0,0.0
335,American_Pit_Bull_Terrier_Mix,Dog,01-06,0.0,0.0
402,American_Pit_Bull_Terrier_Mix,Dog,01-07,0.0,0.0
469,American_Pit_Bull_Terrier_Mix,Dog,01-08,0.0,0.0
536,American_Pit_Bull_Terrier_Mix,Dog,01-09,0.0,0.0
603,American_Pit_Bull_Terrier_Mix,Dog,01-10,0.0,0.0
670,American_Pit_Bull_Terrier_Mix,Dog,01-11,0.0,0.0
737,American_Pit_Bull_Terrier_Mix,Dog,01-12,0.0,0.0
804,American_Pit_Bull_Terrier_Mix,Dog,01-13,0.0,0.0
871,American_Pit_Bull_Terrier_Mix,Dog,01-14,0.0,0.0
938,American_Pit_Bull_Terrier_Mix,Dog,01-15,0.0,0.0
1005,American_Pit_Bull_Terrier_Mix,Dog,01-16,0.0,0.0
1072,American_Pit_Bull_Terrier_Mix,Dog,01-17,0.0,0.0
1139,American_Pit_Bull_Terrier_Mix,Dog,01-19,0.0,0.0
1206,American_Pit_Bull_Terrier_Mix,Dog,01-20,0.0,0.0
1273,American_Pit_Bull_Terrier_Mix,Dog,01-21,0.0,0.0
1340,American_Pit_Bull_Terrier_Mix,Dog,01-22,0.0,0.0
1407,American_Pit_Bull_Terrier_Mix,Dog,01-23,0.0,0.0
1474,American_Pit_Bull_Terrier_Mix,Dog,01-24,0.0,0.0
1541,American_Pit_Bull_Terrier_Mix,Dog,01-25,0.0,0.0
1608,American_Pit_Bull_Terrier_Mix,Dog,01-26,0.0,0.0
1675,American_Pit_Bull_Terrier_Mix,Dog,01-27,0.0,0.0
1742,American_Pit_Bull_Terrier_Mix,Dog,01-28,0.0,0.0
1809,American_Pit_Bull_Terrier_Mix,Dog,01-29,0.0,0.0
1876,American_Pit_Bull_Terrier_Mix,Dog,01-30,0.0,0.0
1943,American_Pit_Bull_Terrier_Mix,Dog,01-31,0.0,0.0
2010,American_Pit_Bull_Terrier_Mix,Dog,02-01,0.0,0.0
2077,American_Pit_Bull_Terrier_Mix,Dog,02-02,0.0,0.0
2144,American_Pit_Bull_Terrier_Mix,Dog,02-03,0.0,0.0
2211,American_Pit_Bull_Terrier_Mix,Dog,02-04,0.0,0.0
2278,American_Pit_Bull_Terrier_Mix,Dog,02-05,0.0,0.0
2345,American_Pit_Bull_Terrier_Mix,Dog,02-06,0.0,0.0
2412,American_Pit_Bull_Terrier_Mix,Dog,02-07,0.0,0.0
2479,American_Pit_Bull_Terrier_Mix,Dog,02-08,0.0,0.0
2546,American_Pit_Bull_Terrier_Mix,Dog,02-09,0.0,0.0
2613,American_Pit_Bull_Terrier_Mix,Dog,02-10,36480.0,2.0
2680,American_Pit_Bull_Terrier_Mix,Dog,02-11,0.0,0.0
2747,American_Pit_Bull_Terrier_Mix,Dog,02-12,0.0,0.0
2814,American_Pit_Bull_Terrier_Mix,Dog,02-13,0.0,0.0
2881,American_Pit_Bull_Terrier_Mix,Dog,02-14,0.0,0.0
2948,American_Pit_Bull_Terrier_Mix,Dog,02-15,0.0,0.0
3015,American_Pit_Bull_Terrier_Mix,Dog,02-16,0.0,0.0
3082,American_Pit_Bull_Terrier_Mix,Dog,02-17,0.0,0.0
3149,American_Pit_Bull_Terrier_Mix,Dog,02-18,0.0,0.0
