,zipcode,number_cases,dog,cat,bird,other
0,78702,72,55,15,1,1
1,78703,10,0,10,0,0
2,78717,1,1,0,0,0
3,78719,9,9,0,0,0
4,78721,4,4,0,0,0
5,78722,2,1,1,0,0
6,78723,4,4,0,0,0
7,78724,7,6,0,0,1
8,78725,2,1,1,0,0
9,78726,1,1,0,0,0
10,78727,1,1,0,0,0
11,78728,2,1,0,0,1
12,78729,1,0,0,1,0
13,78730,1,0,0,0,1
14,78732,1,1,0,0,0
15,78735,2,2,0,0,0
16,78736,2,1,1,0,0
17,78737,1,1,0,0,0
18,78741,8,5,2,0,1
19,78744,21,13,6,0,2
20,78745,8,5,3,0,0
21,78747,3,3,0,0,0
22,78748,6,5,0,0,1
23,78749,1,0,0,0,1
24,78750,3,3,0,0,0
25,78751,1,1,0,0,0
26,78752,3,3,0,0,0
27,78753,15,8,7,0,0
28,78754,3,1,2,0,0
29,78756,2,2,0,0,0
30,78757,4,4,0,0,0
31,78758,5,3,2,0,0
32,78759,3,2,1,0,0
