,index,age_upon_intake,animal_id,animal_type,breed,color,datetime,datetime2,found_location,intake_condition,intake_type,name,sex_upon_intake,lat,long,zipcode,age_upon_outcome,date_of_birth,outcome_datetime,outcome_subtype,outcome_type,sex_upon_outcome,HouseholdIncome
0,1,3 days,A787254,Dog,Black Mouth Cur Mix,Black/White,2019-01-10T10:19:00.000,2019-01-10T10:19:00.000,2000 Man O War in Travis (TX),Normal,Stray,*Sprinkles,Intact Female,30.3475374,-97.7216636,78757,2 months,2019-01-07T00:00:00.000,2019-03-19T11:00:00.000,Foster,Adoption,Spayed Female,"$45,090.00"
1,2,7 years,A760116,Dog,German Shepherd,Brown/Black,2019-01-07T12:07:00.000,2019-01-07T12:07:00.000,Austin (TX),Normal,Owner Surrender,Jasmine,Spayed Female,30.267153,-97.7430608,78702,7 years,2011-05-11T00:00:00.000,2019-01-10T19:20:00.000,,Adoption,Spayed Female,"$23,348.00"
2,2,7 years,A760116,Dog,German Shepherd,Brown/Black,2019-01-07T12:07:00.000,2019-01-07T12:07:00.000,Austin (TX),Normal,Owner Surrender,Jasmine,Spayed Female,30.267153,-97.7430608,78702,7 years,2011-05-11T00:00:00.000,2019-02-09T13:14:00.000,,Adoption,Spayed Female,"$23,348.00"
3,3,3 years,A789406,Cat,Domestic Shorthair Mix,Brown Tabby,2019-02-21T14:55:00.000,2019-02-21T14:55:00.000,Austin (TX),Normal,Public Assist,Liliana,Intact Female,30.267153,-97.7430608,78702,3 years,2015-08-21T00:00:00.000,2019-03-04T15:58:00.000,,Return to Owner,Spayed Female,"$23,348.00"
4,4,4 years,A787054,Dog,Labrador Retriever Mix,Black/White,2019-01-24T15:17:00.000,2019-01-24T15:17:00.000,Austin (TX),Normal,Owner Surrender,*Rexx,Neutered Male,30.267153,-97.7430608,78702,4 years,2015-01-07T00:00:00.000,2019-01-20T15:02:00.000,,Adoption,Neutered Male,"$23,348.00"
5,5,10 years,A788104,Dog,Beagle Mix,Tricolor/Brown,2019-01-26T14:04:00.000,2019-01-26T14:04:00.000,14200 Ranch Road 620 in Austin (TX),Normal,Stray,Beaux,Neutered Male,30.477564,-97.7643021,78717,10 years,2009-01-26T00:00:00.000,2019-01-26T14:50:00.000,,Return to Owner,Neutered Male,"$87,290.00"
6,7,9 years,A789316,Dog,Pomeranian,Red,2019-02-19T12:04:00.000,2019-02-19T12:04:00.000,Austin (TX),Normal,Owner Surrender,Honey,Intact Female,30.267153,-97.7430608,78702,9 years,2010-02-19T00:00:00.000,2019-02-25T18:02:00.000,Partner,Transfer,Intact Female,"$23,348.00"
7,8,3 years,A788881,Dog,American Pit Bull Terrier Mix,Blue Tiger/White,2019-02-10T16:32:00.000,2019-02-10T16:32:00.000,Mckenzie Road And Fm 973 in Austin (TX),Normal,Stray,Friend,Neutered Male,30.1382943,-97.67871939999999,78719,3 years,2016-02-10T00:00:00.000,2019-02-13T16:40:00.000,,Return to Owner,Neutered Male,"$36,480.00"
8,9,2 years,A787302,Dog,Siberian Husky Mix,Gray/White,2019-01-10T18:35:00.000,2019-01-10T18:35:00.000,7516 Peccary Drive in Austin (TX),Normal,Stray,*Sam,Neutered Male,30.160186,-97.728926,78744,2 years,2017-01-10T00:00:00.000,2019-01-17T17:58:00.000,,Adoption,Neutered Male,"$38,256.00"
9,10,4 years,A789594,Dog,Chihuahua Longhair Mix,Brown/Black,2019-02-24T12:14:00.000,2019-02-24T12:14:00.000,Austin (TX),Normal,Owner Surrender,Morena,Intact Female,30.267153,-97.7430608,78702,4 years,2015-02-24T00:00:00.000,2019-02-26T19:33:00.000,,Adoption,Spayed Female,"$23,348.00"
10,11,1 year,A787971,Cat,Domestic Shorthair Mix,Orange Tabby/White,2019-01-23T16:45:00.000,2019-01-23T16:45:00.000,1100 Gunter Street in Austin (TX),Normal,Stray,,Unknown,30.2631622,-97.6997222,78702,1 year,2018-01-23T00:00:00.000,2019-01-28T14:36:00.000,Snr,Transfer,Unknown,"$23,348.00"
11,12,1 year,A789913,Other,Skunk,Black/White,2019-03-01T18:52:00.000,2019-03-01T18:52:00.000,6802 Terra Oak Cir in Austin (TX),Injured,Wildlife,,Unknown,30.22405079999999,-97.84782369999999,78749,1 year,2018-03-01T00:00:00.000,2019-03-03T15:01:00.000,Suffering,Euthanasia,Unknown,"$68,244.00"
12,13,2 years,A786768,Cat,Siamese,Lynx Point/Gray,2019-01-01T11:32:00.000,2019-01-01T11:32:00.000,Austin (TX),Normal,Owner Surrender,Max,Neutered Male,30.267153,-97.7430608,78702,2 years,2017-01-01T00:00:00.000,2019-01-13T18:10:00.000,,Adoption,Neutered Male,"$23,348.00"
13,14,4 years,A788080,Dog,Bullmastiff Mix,Tan/White,2019-01-25T19:38:00.000,2019-01-25T19:38:00.000,10609 Mcmillian Dr in Austin (TX),Normal,Stray,*Pepe,Neutered Male,30.3719374,-97.6828546,78753,4 years,2015-01-25T00:00:00.000,2019-02-13T17:00:00.000,Partner,Transfer,Neutered Male,"$38,206.00"
14,15,1 year,A789795,Dog,Chesa Bay Retr/Pit Bull,Sable/White,2019-02-27T16:27:00.000,2019-02-27T16:27:00.000,East 14Th Street And Chestnut Avenue in Austin (TX),Normal,Stray,*Shimmer,Intact Female,30.2763925,-97.7164073,78702,1 year,2017-08-27T00:00:00.000,2019-03-07T17:13:00.000,,Adoption,Spayed Female,"$23,348.00"
15,16,2 years,A787398,Dog,Pit Bull Mix,Brown/White,2019-01-12T13:46:00.000,2019-01-12T13:46:00.000,Austin (TX),Normal,Owner Surrender,Coco,Spayed Female,30.267153,-97.7430608,78702,,,,,,,"$23,348.00"
16,17,10 years,A789726,Cat,Domestic Shorthair Mix,Brown Tabby/White,2019-02-26T15:42:00.000,2019-02-26T15:42:00.000,8600 N Lamar Blvd in Austin (TX),Sick,Stray,,Neutered Male,30.3545586,-97.70471649999999,78753,10 years,2009-02-26T00:00:00.000,2019-02-27T18:28:00.000,Suffering,Euthanasia,Neutered Male,"$38,206.00"
